Organisation Name,Identifying Details,Total Scope 1 Emissions (t CO2-e),Total Scope 2 Emissions (t CO2-e),Net Energy Consumed (GJ),Important Notes
MINJAR GOLD PTY LTD,15 119 514 528,"40,369","57,690","864,185",-
MIRVAC LIMITED,92 003 280 699,"5,988","77,890","452,242",-
MMG MANAGEMENT PTY LTD,33 115 312 680,"27,874","115,569","1,489,876",-
MONASH HEALTH,82 142 080 338,"12,169","67,317","466,345",-
MONASH UNIVERSITY,12 377 614 012,"18,406","115,491","744,868",-
MONDELEZ AUSTRALIA HOLDINGS PTY LIMITED,86 004 880 817,"22,371","49,652","691,079",-
MOUNT GIBSON IRON LIMITED,87 008 670 817,"55,403","1,524","802,392",-
MYER HOLDINGS LIMITED,14 119 085 602,"1,194","126,416","563,716",-
NATIONAL AUSTRALIA BANK LIMITED,12 004 044 937,"13,794","87,832","576,376",-
NBN CO LIMITED,86 136 533 741,"4,932","258,767","1,186,175",-
NCIG HOLDINGS PTY LTD,98 124 700 483,349,"65,909","295,258",-
NESTLE AUSTRALIA LTD,77 000 011 316,"33,776","109,772","1,463,989",-
NEW CENTURY RESOURCES LIMITED,53 142 165 080,"14,943","123,058","766,219",-
NEW ZEALAND MILK (AUSTRALASIA) PTY LTD,23 003 502 654,"120,929","130,429","2,780,111",-
NEWCREST MINING LIMITED,20 005 683 625,"594,591","900,966","14,462,961",-
NEWGEN KWINANA HOLDINGS PTY LTD,68 116 576 955,"793,003",156,"8,539,462",-
NEWMARKET GOLD VICTORIAN HOLDINGS PTY LTD,21 128 442 375,"22,626","121,635","753,104",-
NEWMONT GOLDCORP AUSTRALIA PTY LTD,95 099 040 507,"394,203","714,204","9,532,978",-
NEWS AUSTRALIA HOLDINGS PTY LIMITED,32 105 197 028,"4,728","91,043","476,499",-
NEXTDC LIMITED,35 143 582 521,393,"198,025","793,264",-
NH FOODS AUSTRALIA PTY LTD,87 001 548 401,"45,472","47,367","818,311",-
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,60 122 203 892,"5,613","53,922","323,631",-
NOGA HOLDINGS PTY LIMITED,33 609 551 671,"142,797",0,"1,942,053",-
NORSKE SKOG INDUSTRIES AUSTRALIA LIMITED,50 003 902 985,"236,080","623,226","8,264,320",-
NORTHERN CO-OPERATIVE MEAT COMPANY LTD,42 060 208 366,"40,825","22,511","289,642",-
NORTHERN SEQ DISTRIBUTOR - RETAILER AUTHORITY,89 791 717 472,"16,296","53,244","272,073",-
NORTHERN STAR RESOURCES LTD,43 092 832 892,"198,980","126,151","3,878,722",-
NORTON GOLD FIELDS PTY LTD,23 112 287 797,"54,500","65,458","1,129,144",-
NRG VICTORIA I PTY LTD,26 076 286 578,"7,868,001","49,198","58,743,976",-
NSW ELECTRICITY NETWORKS OPERATIONS PTY LIMITED, 609 169 959,"13,975","1,642,718","7,268,543",-
NSW TRAINS,50 325 560 455,"61,864","165,951","1,611,927",-
NUFARM LIMITED,37 091 323 312,"11,020","43,585","351,257",-
NYRSTAR AUSTRALIA PTY LTD,46 124 535 468,"412,513","286,885","10,051,581",-
OLAM ORCHARDS AUSTRALIA PTY LTD,15 139 442 532,"12,641","92,366","499,175",-
ORICA LIMITED,24 004 145 868,"1,754,798","165,778","18,752,084",-
ORIGIN ENERGY LIMITED,30 000 051 696,"17,955,701","2,288,632","150,739,935",-
ORORA LIMITED,55 004 275 165,"355,130","324,836","7,333,821",-
OSIRIS HOLDINGS PTY LTD,29 168 919 391,"2,154","75,944","352,502",-
OVATO LIMITED,39 050 148 644,"18,964","85,370","701,324",-
OWENS-ILLINOIS HOLDING (AUSTRALIA) PTY LTD,30 002 060 059,"292,934","195,018","5,110,239",-
OZ MINERALS LIMITED,40 005 482 824,"77,271","176,627","2,373,042",-
OZGEN HOLDINGS AUSTRALIA PTY LTD,34 128 655 096,"10,828,784","32,953","76,074,288","Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports. For further information refer to the 2017-18 greenhouse and energy information for designated generation facilities."
PACT GROUP HOLDINGS LTD,55 145 989 644,"17,380","235,534","1,334,270",-
PAPER AUSTRALIA PTY LTD,63 061 583 533,"349,922","298,809","16,217,639",-
PEABODY AUSTRALIA HOLDCO PTY LTD,61 154 820 130,"2,656,851","228,678","10,927,577",-
PECHINEY CONSOLIDATED AUSTRALIA PTY LIMITED,39 076 569 769,"1,185,710","6,888,271","40,823,893",-
PEPSICO FOODS GROUP PTY LTD,71 122 527 137,"27,291","26,838","656,126",-
PERILYA LIMITED,85 009 193 695,"14,772","137,763","844,154",-
PERTH ENERGY PTY LTD,39 087 386 445,"61,160","1,443","835,437",-
PFD FOOD SERVICES PTY LTD,29 006 972 381,"31,652","40,677","609,014",-
PFG TOPCO1 PTY LIMITED,35 604 317 875,"6,198","72,468","397,001",-
PILBARA MINERALS LIMITED,95 112 425 788,"56,942",62,"815,571",-
PIONEER SAIL HOLDINGS PTY LIMITED,45 617 844 569,"10,776,121","11,639","92,417,404",-
